time,z,y,x
1610887434317469400,-10.619999885559082,-40.68000030517578,-18.959999084472656
1610887434327468300,-10.079999923706055,-40.37999725341797,-18.779998779296875
1610887434337468000,-10.619999885559082,-40.68000030517578,-18.959999084472656
1610887434347467500,-10.679999351501465,-40.5,-18.53999900817871
1610887434357467100,-10.5,-40.55999755859375,-18.719999313354492
1610887434367466800,-10.979999542236328,-40.79999923706055,-18.779998779296875
1610887434377465900,-10.4399995803833,-40.73999786376953,-18.899999618530273
1610887434387465200,-10.5,-41.099998474121094,-18.84000015258789
1610887434397464300,-10.199999809265137,-40.97999954223633,-18.65999984741211
1610887434407463200,-9.84000015258789,-40.68000030517578,-18.420000076293945
1610887434417462300,-9.84000015258789,-40.37999725341797,-18.420000076293945
1610887434427461000,-9.899999618530273,-40.2599983215332,-18.239999771118164
1610887434437460200,-9.719999313354492,-39.89999771118164,-18.479999542236328
1610887434447459000,-9.719999313354492,-40.619998931884766,-18.53999900817871
1610887434457458200,-9.59999942779541,-41.21999740600586,-18.65999984741211
1610887434467457000,-9.719999313354492,-40.97999954223633,-18.959999084472656
1610887434477456000,-10.139999389648438,-40.91999816894531,-19.079999923706055
1610887434487454700,-9.899999618530273,-40.2599983215332,-19.260000228881836
1610887434497453600,-10.319999694824219,-40.31999969482422,-19.19999885559082
1610887434507452700,-10.139999389648438,-40.439998626708984,-19.19999885559082
1610887434517451500,-9.899999618530273,-40.5,-18.779998779296875
1610887434527450400,-10.139999389648438,-40.55999755859375,-19.19999885559082
1610887434537449200,-9.960000038146973,-40.5,-19.31999969482422
1610887434547448000,-9.359999656677246,-40.37999725341797,-19.3799991607666
1610887434557447000,-9.84000015258789,-40.2599983215332,-19.68000030517578
1610887434567445800,-9.899999618530273,-40.439998626708984,-19.3799991607666
1610887434577444600,-9.65999984741211,-40.2599983215332,-19.260000228881836
1610887434587443500,-9.899999618530273,-41.15999984741211,-19.079999923706055
1610887434597442300,-9.359999656677246,-42,-18.119998931884766
1610887434607441200,-8.699999809265137,-42.65999984741211,-17.940000534057617
1610887434617440000,-8.519999504089355,-43.5,-17.69999885559082
1610887434627438600,-8.279999732971191,-43.37999725341797,-17.639999389648438
1610887434637437400,-8.279999732971191,-43.2599983215332,-17.639999389648438
1610887434647436300,-8.579999923706055,-43.13999938964844,-17.579999923706055
1610887434657435000,-8.519999504089355,-42.65999984741211,-17.459999084472656
1610887434667433700,-8.34000015258789,-42.29999923706055,-17.279998779296875
1610887434677432300,-8.34000015258789,-42.18000030517578,-17.520000457763672
1610887434687431200,-7.859999656677246,-42.119998931884766,-17.579999923706055
1610887434697429800,-8.220000267028809,-42.29999923706055,-17.760000228881836
1610887434707428600,-8.460000038146973,-42.47999954223633,-17.8799991607666
1610887434717427200,-8.519999504089355,-42.959999084472656,-18
1610887434727426000,-9.239999771118164,-43.02000045776367,-17.219999313354492
1610887434737425000,-8.639999389648438,-42.599998474121094,-17.219999313354492
1610887434747423500,-8.639999389648438,-43.07999801635742,-17.279998779296875
1610887434757422300,-8.519999504089355,-42.84000015258789,-16.619998931884766
1610887434767421200,-8.399999618530273,-42.959999084472656,-16.979999542236328
1610887434777419800,-8.639999389648438,-43.2599983215332,-16.799999237060547
1610887434787418600,-8.639999389648438,-43.07999801635742,-16.739999771118164
1610887434797417500,-8.519999504089355,-42.71999740600586,-17.219999313354492
1610887434807416000,-8.579999923706055,-42.71999740600586,-17.279998779296875
1610887434817415000,-9,-42.599998474121094,-17.219999313354492
1610887434827413500,-8.639999389648438,-42.36000061035156,-16.799999237060547
1610887434837412400,-9,-42.779998779296875,-17.34000015258789
1610887434847411200,-9.119999885559082,-42.779998779296875,-17.459999084472656
1610887434857409800,-8.460000038146973,-42.779998779296875,-17.459999084472656
1610887434867408600,-8.819999694824219,-42.36000061035156,-17.760000228881836
1610887434877407500,-8.34000015258789,-42.29999923706055,-17.34000015258789
1610887434887406000,-7.919999599456787,-42.23999786376953,-17.279998779296875
1610887434897405000,-8.34000015258789,-42.36000061035156,-17.399999618530273
1610887434907403500,-8.220000267028809,-42.959999084472656,-17.639999389648438
1610887434917402400,-8.639999389648438,-43.02000045776367,-17.639999389648438
1610887434927401200,-8.9399995803833,-43.13999938964844,-17.69999885559082
1610887434937399800,-9.119999885559082,-43.02000045776367,-17.8799991607666
1610887434947398700,-9,-43.02000045776367,-17.639999389648438
1610887434957397500,-8.9399995803833,-43.2599983215332,-17.639999389648438
1610887434967396000,-8.639999389648438,-42.779998779296875,-17.399999618530273
1610887434977395000,-8.519999504089355,-43.07999801635742,-16.739999771118164
1610887434987393500,-8.760000228881836,-42.84000015258789,-16.68000030517578
1610887434997392400,-8.579999923706055,-42.959999084472656,-16.440000534057617
1610887435007391200,-9,-43.5,-16.739999771118164
1610887435017389800,-8.639999389648438,-43.20000076293945,-17.459999084472656
1610887435027388700,-8.519999504089355,-43.2599983215332,-17.399999618530273
1610887435037387300,-8.9399995803833,-42.71999740600586,-17.520000457763672
1610887435047385900,-8.579999923706055,-42.599998474121094,-17.520000457763672
1610887435057384700,-8.880000114440918,-42.540000915527344,-17.219999313354492
1610887435067383600,-9.239999771118164,-42.779998779296875,-17.399999618530273
1610887435077382100,-9,-42.779998779296875,-17.34000015258789
1610887435087380700,-9.059999465942383,-43.13999938964844,-17.03999900817871
1610887435097379600,-8.579999923706055,-43.55999755859375,-16.799999237060547
1610887435107378200,-8.15999984741211,-43.619998931884766,-17.03999900817871
1610887435117377000,-8.279999732971191,-43.2599983215332,-17.279998779296875
1610887435127376000,-8.15999984741211,-42.89999771118164,-17.399999618530273
1610887435137374500,-8.699999809265137,-42.47999954223633,-17.69999885559082
1610887435147373300,-8.460000038146973,-41.939998626708984,-17.81999969482422
1610887435157372000,-8.399999618530273,-42.29999923706055,-18.239999771118164
1610887435167370800,-8.460000038146973,-42.18000030517578,-18.35999870300293
1610887435177369600,-8.15999984741211,-41.87999725341797,-18.53999900817871
1610887435187368200,-8.519999504089355,-42.29999923706055,-18.299999237060547
1610887435197367000,-8.579999923706055,-42.41999816894531,-17.520000457763672
1610887435207366000,-8.399999618530273,-42.18000030517578,-17.399999618530273
1610887435217364500,-8.579999923706055,-42.29999923706055,-17.03999900817871
1610887435227363300,-8.519999504089355,-42.05999755859375,-16.559999465942383
1610887435237362000,-8.460000038146973,-42.05999755859375,-16.559999465942383
1610887435247708700,-8.15999984741211,-42.05999755859375,-16.920000076293945
1610887435257707300,-7.980000019073486,-42.41999816894531,-17.279998779296875
1610887435267706000,-7.679999828338623,-43.02000045776367,-17.81999969482422
1610887435277705000,-7.559999942779541,-43.2599983215332,-17.69999885559082
1610887435287703600,-8.220000267028809,-43.86000061035156,-17.459999084472656
1610887435297702400,-8.519999504089355,-43.91999816894531,-17.579999923706055
1610887435307701000,-8.699999809265137,-43.439998626708984,-17.34000015258789
1610887435317699800,-8.819999694824219,-43.5,-17.639999389648438
1610887435327698400,-8.519999504089355,-43.31999969482422,-17.940000534057617
1610887435337697300,-8.399999618530273,-43.55999755859375,-17.579999923706055
1610887435347696000,-8.399999618530273,-43.73999786376953,-17.81999969482422
1610887435357695000,-8.399999618530273,-43.31999969482422,-17.81999969482422
1610887435367693600,-8.460000038146973,-43.13999938964844,-17.940000534057617
1610887435377692400,-8.039999961853027,-42.89999771118164,-18.299999237060547
1610887435387691300,-7.980000019073486,-42.959999084472656,-18.119998931884766
1610887435397690400,-7.739999771118164,-43.2599983215332,-17.8799991607666
1610887435407689200,-7.619999885559082,-43.86000061035156,-17.520000457763672
1610887435417688000,-7.799999713897705,-44.040000915527344,-17.579999923706055
1610887435427687000,-8.279999732971191,-44.099998474121094,-17.459999084472656
1610887435437685800,-8.399999618530273,-43.86000061035156,-17.69999885559082
1610887435447684600,-8.519999504089355,-43.439998626708984,-17.69999885559082
1610887435457683500,-8.880000114440918,-43.20000076293945,-17.399999618530273
1610887435467682300,-9.119999885559082,-43.13999938964844,-17.459999084472656
1610887435477681200,-9.359999656677246,-43.5,-17.459999084472656
1610887435487680000,-9.65999984741211,-43.439998626708984,-17.69999885559082
1610887435497678800,-9.479999542236328,-43.31999969482422,-17.579999923706055
1610887435507677700,-8.639999389648438,-43.5,-18.059999465942383
1610887435517676500,-8.34000015258789,-43.37999725341797,-18.18000030517578
1610887435527675400,-8.15999984741211,-43.02000045776367,-17.81999969482422
1610887435537674200,-8.039999961853027,-43.20000076293945,-18.119998931884766
1610887435547673000,-8.460000038146973,-43.02000045776367,-17.639999389648438
1610887435557672000,-8.699999809265137,-43.31999969482422,-17.579999923706055
1610887435567670800,-8.760000228881836,-43.439998626708984,-17.81999969482422
1610887435577669600,-9.119999885559082,-43.439998626708984,-17.69999885559082
1610887435587668500,-9.300000190734863,-43.5,-18.119998931884766
1610887435597667300,-9.420000076293945,-42.89999771118164,-17.69999885559082
1610887435607666200,-9.420000076293945,-42.65999984741211,-17.399999618530273
1610887435617665000,-9.239999771118164,-42.71999740600586,-17.399999618530273
1610887435627664000,-8.699999809265137,-42.18000030517578,-17.15999984741211
1610887435637662700,-8.279999732971191,-42.540000915527344,-17.520000457763672
1610887435647661600,-8.15999984741211,-42.47999954223633,-17.940000534057617
1610887435657660400,-8.09999942779541,-42.599998474121094,-17.579999923706055
1610887435667659300,-8.639999389648438,-43.07999801635742,-17.639999389648438
1610887435677658000,-8.579999923706055,-42.779998779296875,-17.520000457763672
1610887435687656700,-8.639999389648438,-42.959999084472656,-16.979999542236328
1610887435697655600,-8.639999389648438,-43.02000045776367,-17.219999313354492
1610887435707654400,-8.460000038146973,-42.959999084472656,-17.100000381469727
1610887435717653000,-8.760000228881836,-43.07999801635742,-17.399999618530273
1610887435727651800,-8.760000228881836,-42.89999771118164,-17.81999969482422
1610887435737650400,-8.639999389648438,-42.959999084472656,-18.299999237060547
1610887435747649300,-8.519999504089355,-43.07999801635742,-18.18000030517578
1610887435757648100,-8.34000015258789,-42.84000015258789,-17.8799991607666
1610887435767646700,-8.220000267028809,-43.439998626708984,-17.639999389648438
1610887435777645600,-8.09999942779541,-42.779998779296875,-17.34000015258789
1610887435787644200,-8.34000015258789,-42.779998779296875,-17.34000015258789
1610887435797643000,-8.279999732971191,-43.02000045776367,-17.459999084472656
1610887435807641600,-8.09999942779541,-42.71999740600586,-17.579999923706055
1610887435817640400,-8.15999984741211,-42.89999771118164,-17.579999923706055
1610887435827639300,-8.039999961853027,-42.71999740600586,-18.18000030517578
1610887435837638000,-8.15999984741211,-42.84000015258789,-18.239999771118164
1610887435847636700,-8.220000267028809,-43.02000045776367,-17.8799991607666
1610887435857635600,-8.460000038146973,-43.20000076293945,-17.81999969482422
1610887435867634200,-8.519999504089355,-43.07999801635742,-17.579999923706055
1610887435877633000,-8.460000038146973,-43.20000076293945,-17.459999084472656
1610887435887632000,-8.699999809265137,-43.13999938964844,-17.579999923706055
1610887435897630500,-8.519999504089355,-42.779998779296875,-17.639999389648438
1610887435907629300,-8.039999961853027,-42.779998779296875,-17.639999389648438
1610887435917628000,-8.09999942779541,-42.599998474121094,-17.579999923706055
1610887435927626800,-7.799999713897705,-42.41999816894531,-17.940000534057617
1610887435937625600,-8.220000267028809,-43.13999938964844,-17.579999923706055
1610887435947624200,-8.399999618530273,-43.20000076293945,-17.34000015258789
1610887435957623000,-8.399999618530273,-43.79999923706055,-17.520000457763672
1610887435967622000,-8.880000114440918,-43.73999786376953,-17.100000381469727
1610887435977620500,-8.639999389648438,-43.2599983215332,-17.34000015258789
1610887435987619300,-9,-43.37999725341797,-17.100000381469727
1610887435997618200,-9,-42.65999984741211,-17.279998779296875
1610887436007616800,-8.460000038146973,-42.47999954223633,-17.69999885559082
1610887436017615600,-8.519999504089355,-42.65999984741211,-17.69999885559082
1610887436027614500,-8.399999618530273,-42.599998474121094,-17.69999885559082
1610887436037613000,-8.279999732971191,-42.84000015258789,-17.520000457763672
1610887436047611600,-8.819999694824219,-43.13999938964844,-17.399999618530273
1610887436057610500,-8.579999923706055,-43.20000076293945,-17.579999923706055
1610887436067609000,-8.639999389648438,-42.84000015258789,-18.299999237060547
1610887436077608000,-9.059999465942383,-42.65999984741211,-18.479999542236328
1610887436087606500,-8.279999732971191,-42.779998779296875,-18.35999870300293
1610887436097605400,-8.639999389648438,-42.779998779296875,-18.35999870300293
1610887436107604200,-8.519999504089355,-43.07999801635742,-17.8799991607666
1610887436117602800,-8.760000228881836,-43.2599983215332,-17.81999969482422
1610887436127601700,-9.179999351501465,-43.31999969482422,-18.299999237060547
1610887436137600300,-9.239999771118164,-43.5,-18.239999771118164
1610887436147599000,-9.479999542236328,-43.07999801635742,-18.299999237060547
1610887436157597700,-9.119999885559082,-42.84000015258789,-18.420000076293945
1610887436167596500,-9.239999771118164,-42.89999771118164,-18.239999771118164
1610887436177595400,-9,-42.65999984741211,-17.81999969482422
1610887436187594000,-9.059999465942383,-42.84000015258789,-18
1610887436197592800,-8.819999694824219,-43.02000045776367,-17.8799991607666
1610887436207591700,-8.579999923706055,-42.84000015258789,-17.8799991607666
1610887436217590300,-8.760000228881836,-42.779998779296875,-18.299999237060547
1610887436227589000,-8.699999809265137,-43.20000076293945,-18
1610887436237588000,-8.9399995803833,-43.02000045776367,-17.520000457763672
1610887436247586600,-8.9399995803833,-42.89999771118164,-17.15999984741211
1610887436257585400,-8.399999618530273,-42.84000015258789,-17.15999984741211
1610887436267584300,-8.34000015258789,-42.779998779296875,-17.100000381469727
1610887436277582800,-8.460000038146973,-43.20000076293945,-17.520000457763672
1610887436287581700,-8.460000038146973,-43.02000045776367,-17.639999389648438
1610887436297580300,-8.519999504089355,-42.959999084472656,-17.279998779296875
1610887436307579100,-8.09999942779541,-42.47999954223633,-17.459999084472656
1610887436317578000,-7.559999942779541,-42.119998931884766,-17.579999923706055
1610887436327576600,-8.039999961853027,-42.779998779296875,-17.459999084472656
1610887436337575400,-8.399999618530273,-42.47999954223633,-17.8799991607666
1610887436347574000,-8.579999923706055,-42.84000015258789,-17.81999969482422
1610887436357572900,-8.699999809265137,-42.47999954223633,-17.579999923706055
1610887436367571700,-8.09999942779541,-42.119998931884766,-17.81999969482422
1610887436377570300,-8.039999961853027,-42.65999984741211,-17.579999923706055
1610887436387569200,-8.15999984741211,-42.540000915527344,-17.279998779296875
1610887436397568000,-8.09999942779541,-42.41999816894531,-17.15999984741211
1610887436407566600,-8.09999942779541,-42.119998931884766,-16.920000076293945
1610887436417565400,-8.09999942779541,-42.05999755859375,-17.15999984741211
1610887436427564300,-8.15999984741211,-42.119998931884766,-17.459999084472656
1610887436437563400,-8.460000038146973,-42.89999771118164,-17.520000457763672
1610887436447562200,-8.760000228881836,-42.959999084472656,-17.520000457763672
1610887436457561000,-8.760000228881836,-42.71999740600586,-17.219999313354492
1610887436467560200,-8.819999694824219,-42.89999771118164,-17.579999923706055
1610887436477559000,-8.9399995803833,-42.05999755859375,-17.579999923706055
1610887436487558100,-8.819999694824219,-42.29999923706055,-17.940000534057617
1610887436497557200,-8.9399995803833,-43.02000045776367,-18.18000030517578
1610887436507556400,-8.699999809265137,-42.959999084472656,-17.639999389648438
1610887436517555200,-8.699999809265137,-43.37999725341797,-18
1610887436527554300,-8.819999694824219,-43.37999725341797,-18.35999870300293
1610887436537553400,-9.179999351501465,-42.599998474121094,-17.8799991607666
1610887436547552500,-9.300000190734863,-42.29999923706055,-18.059999465942383
1610887436557551600,-9.239999771118164,-42.23999786376953,-17.69999885559082
1610887436567550500,-9.119999885559082,-42.18000030517578,-17.34000015258789
1610887436577549600,-8.880000114440918,-42.29999923706055,-17.520000457763672
1610887436587548700,-8.819999694824219,-42.23999786376953,-17.579999923706055
1610887436597547800,-9,-42,-17.81999969482422
1610887436607546600,-8.9399995803833,-42.05999755859375,-17.459999084472656
1610887436617545700,-8.639999389648438,-41.81999969482422,-17.760000228881836
1610887436627544800,-8.15999984741211,-42,-17.100000381469727
1610887436637544000,-8.09999942779541,-42.47999954223633,-17.03999900817871
1610887436647543000,-8.279999732971191,-42.540000915527344,-17.34000015258789
1610887436657542000,-8.460000038146973,-42.71999740600586,-16.979999542236328
1610887436667541000,-8.880000114440918,-42.84000015258789,-17.81999969482422
1610887436677540000,-8.399999618530273,-42.65999984741211,-17.940000534057617
1610887436687539200,-7.980000019073486,-42.540000915527344,-18.119998931884766
1610887436697538000,-8.34000015258789,-42.89999771118164,-18.779998779296875
1610887436707537200,-8.220000267028809,-42.89999771118164,-18.779998779296875
1610887436717536300,-8.399999618530273,-43.07999801635742,-18.84000015258789
1610887436727535000,-8.699999809265137,-43.07999801635742,-18.65999984741211
1610887436737534000,-8.279999732971191,-42.540000915527344,-19.020000457763672
1610887436747532800,-8.34000015258789,-42.47999954223633,-18.53999900817871
1610887436757531600,-8.220000267028809,-42.36000061035156,-18.53999900817871
1610887436767530500,-8.09999942779541,-42.47999954223633,-18.299999237060547
1610887436777529300,-7.739999771118164,-42.84000015258789,-17.760000228881836
1610887436787528200,-8.15999984741211,-43.31999969482422,-18.18000030517578
1610887436797526800,-8.09999942779541,-43.37999725341797,-17.8799991607666
1610887436807525400,-8.15999984741211,-43.439998626708984,-18
1610887436817524200,-8.34000015258789,-43.37999725341797,-18.18000030517578
1610887436827522800,-8.15999984741211,-42.89999771118164,-18.119998931884766
1610887436837521700,-8.279999732971191,-43.07999801635742,-18.600000381469727
1610887436847520300,-8.220000267028809,-43.20000076293945,-18.600000381469727
1610887436857519000,-8.15999984741211,-42.71999740600586,-18.119998931884766
1610887436867518000,-8.220000267028809,-42.540000915527344,-18.059999465942383
1610887436877516500,-8.279999732971191,-42.36000061035156,-17.940000534057617
1610887436887515400,-8.639999389648438,-42.23999786376953,-18.420000076293945
1610887436897514200,-8.579999923706055,-43.07999801635742,-18.420000076293945
1610887436907512800,-8.460000038146973,-43.31999969482422,-18.479999542236328
1610887436917511700,-8.34000015258789,-42.84000015258789,-17.81999969482422
1610887436927510300,-8.279999732971191,-42.89999771118164,-17.34000015258789
1610887436937509000,-8.639999389648438,-42.65999984741211,-17.639999389648438
1610887436947507700,-8.819999694824219,-42.779998779296875,-17.579999923706055
1610887436957506600,-8.880000114440918,-42.959999084472656,-18.119998931884766
1610887436967505400,-8.880000114440918,-42.89999771118164,-18.35999870300293
1610887436977504300,-8.9399995803833,-42.540000915527344,-18
1610887436987502800,-8.519999504089355,-42.84000015258789,-18.059999465942383
1610887436997501700,-9,-43.02000045776367,-17.760000228881836
1610887437007500500,-8.699999809265137,-42.65999984741211,-17.639999389648438
1610887437017499100,-8.699999809265137,-43.20000076293945,-18.299999237060547
1610887437027498000,-8.579999923706055,-42.779998779296875,-18.420000076293945
1610887437037496600,-8.039999961853027,-42.41999816894531,-18.719999313354492
1610887437047495400,-8.279999732971191,-42.65999984741211,-18.779998779296875
1610887437057494000,-7.859999656677246,-42.65999984741211,-18.35999870300293
1610887437067492900,-7.980000019073486,-42.959999084472656,-18.299999237060547
1610887437077491500,-8.460000038146973,-42.959999084472656,-18.239999771118164
1610887437087490300,-7.980000019073486,-43.2599983215332,-17.940000534057617
1610887437097489200,-8.220000267028809,-42.84000015258789,-18.119998931884766
1610887437107487700,-8.519999504089355,-42.779998779296875,-18.119998931884766
1610887437117486600,-8.399999618530273,-42.89999771118164,-18.059999465942383
1610887437127485400,-9.179999351501465,-42.84000015258789,-18.119998931884766
1610887437137484000,-9.300000190734863,-43.02000045776367,-18.059999465942383
1610887437147483000,-8.9399995803833,-42.71999740600586,-17.940000534057617
1610887437157481700,-8.519999504089355,-43.07999801635742,-18
1610887437167480300,-8.34000015258789,-43.02000045776367,-17.940000534057617
1610887437177479200,-8.399999618530273,-42.89999771118164,-17.940000534057617
1610887437187477800,-8.579999923706055,-43.20000076293945,-17.639999389648438
1610887437197476600,-9.300000190734863,-43.37999725341797,-18
1610887437207475200,-8.760000228881836,-43.02000045776367,-18.18000030517578
1610887437217474000,-8.519999504089355,-43.5,-18.420000076293945
1610887437227472600,-8.9399995803833,-43.73999786376953,-18.65999984741211
1610887437237471500,-8.460000038146973,-44.040000915527344,-18.119998931884766
1610887437247470300,-9.059999465942383,-43.91999816894531,-17.940000534057617
1610887437257469000,-9.59999942779541,-43.73999786376953,-17.459999084472656
1610887437267467800,-8.819999694824219,-43.20000076293945,-17.760000228881836
1610887437277466400,-8.880000114440918,-42.599998474121094,-18
1610887437287465200,-8.460000038146973,-42.959999084472656,-17.8799991607666
1610887437297463800,-8.039999961853027,-43.02000045776367,-17.940000534057617
1610887437307462700,-8.09999942779541,-43.55999755859375,-17.100000381469727
1610887437317461500,-8.460000038146973,-43.439998626708984,-17.219999313354492
1610887437327460000,-8.460000038146973,-43.2599983215332,-17.219999313354492
1610887437337459000,-8.519999504089355,-43.55999755859375,-17.34000015258789
1610887437347457800,-8.9399995803833,-43.619998931884766,-18.059999465942383
1610887437357456400,-8.699999809265137,-43.86000061035156,-18
1610887437367455200,-8.34000015258789,-44.15999984741211,-18.35999870300293
1610887437377454000,-8.760000228881836,-43.68000030517578,-18.18000030517578
1610887437387452700,-8.760000228881836,-43.439998626708984,-18.18000030517578
1610887437397451500,-8.760000228881836,-42.84000015258789,-18
1610887437407450000,-9.300000190734863,-42.779998779296875,-17.760000228881836
1610887437417449000,-9,-42.959999084472656,-17.8799991607666
1610887437427447800,-8.9399995803833,-42.65999984741211,-17.579999923706055
1610887437437446400,-9.179999351501465,-43.13999938964844,-17.459999084472656
1610887437447445200,-9.239999771118164,-42.540000915527344,-17.81999969482422
1610887437457444000,-8.760000228881836,-42.41999816894531,-17.760000228881836
1610887437467442700,-8.519999504089355,-42.540000915527344,-18
1610887437477441500,-8.220000267028809,-42.540000915527344,-17.81999969482422
1610887437487440400,-7.799999713897705,-42.959999084472656,-17.279998779296875
1610887437497439000,-7.619999885559082,-43.02000045776367,-17.459999084472656
1610887437507437800,-8.039999961853027,-42.959999084472656,-17.219999313354492
1610887437517436700,-8.039999961853027,-43.31999969482422,-17.520000457763672
1610887437527435500,-8.579999923706055,-43.37999725341797,-17.8799991607666
1610887437537434400,-8.760000228881836,-43.02000045776367,-18
1610887437547433200,-8.279999732971191,-43.02000045776367,-18.059999465942383
1610887437557432000,-8.220000267028809,-42.23999786376953,-17.760000228881836
1610887437567431000,-7.559999942779541,-42.23999786376953,-17.81999969482422
1610887437577429800,-8.220000267028809,-42.36000061035156,-17.940000534057617
1610887437587428600,-8.220000267028809,-42.05999755859375,-17.639999389648438
1610887437597427500,-8.819999694824219,-42.119998931884766,-17.940000534057617
1610887437607426300,-9.300000190734863,-42.23999786376953,-18.18000030517578
1610887437617425200,-8.819999694824219,-42.29999923706055,-17.520000457763672
1610887437627424000,-8.880000114440918,-42.959999084472656,-18.119998931884766
1610887437637422800,-8.34000015258789,-42.959999084472656,-18.600000381469727
1610887437647421700,-8.09999942779541,-42.959999084472656,-18.18000030517578
1610887437657420500,-8.220000267028809,-42.959999084472656,-18.420000076293945
1610887437667419400,-8.460000038146973,-42.540000915527344,-18.119998931884766
1610887437677418200,-8.279999732971191,-42.47999954223633,-17.639999389648438
1610887437687417000,-8.460000038146973,-42.23999786376953,-17.81999969482422
1610887437697416000,-7.859999656677246,-42.05999755859375,-17.940000534057617
1610887437707414800,-7.799999713897705,-42.36000061035156,-17.940000534057617
1610887437717413600,-7.919999599456787,-42.65999984741211,-18.059999465942383
1610887437727412500,-7.679999828338623,-43.02000045776367,-18
1610887437737411300,-8.699999809265137,-43.13999938964844,-17.81999969482422
1610887437747410200,-8.399999618530273,-42.84000015258789,-17.579999923706055
1610887437757409300,-8.15999984741211,-42.89999771118164,-16.979999542236328
1610887437767407900,-8.15999984741211,-42.47999954223633,-16.739999771118164
1610887437777406700,-8.039999961853027,-42.23999786376953,-16.85999870300293
1610887437787405600,-7.5,-42.47999954223633,-17.520000457763672
1610887437797404400,-7.919999599456787,-42.36000061035156,-18.059999465942383
1610887437807403300,-7.980000019073486,-42.779998779296875,-18.119998931884766
1610887437817402000,-7.679999828338623,-43.02000045776367,-18.35999870300293
1610887437827401000,-8.34000015258789,-42.71999740600586,-17.8799991607666
1610887437837399600,-8.34000015258789,-42.41999816894531,-17.639999389648438
1610887437847398400,-8.220000267028809,-41.939998626708984,-17.69999885559082
1610887437857397000,-8.039999961853027,-41.81999969482422,-17.760000228881836
1610887437867395800,-8.039999961853027,-42,-17.399999618530273
1610887437877394400,-7.859999656677246,-42.36000061035156,-17.579999923706055
