time,z,y,x
1610458182596400400,-7.478348506730795,-6.232135562959313,-1.1853988479770718
1610458182606414600,-7.4917603614896535,-6.213055014914274,-1.2007727235238999
1610458182616428500,-7.505898192435502,-6.193455411431193,-1.2136668380189686
1610458182626442500,-7.517277080062032,-6.177080615213513,-1.2266254691176115
1610458182636456400,-7.52503660814762,-6.165420572558045,-1.2376564200893043
1610458182646469600,-7.5301593579888335,-6.1578667961776254,-1.244089668007195
1610458182656483300,-7.532127443191409,-6.153723705023527,-1.2526460455588995
1610458182666497500,-7.5305410507828,-6.151169344365597,-1.2745375593714414
1610458182676511500,-7.526067120239138,-6.147866795688867,-1.3162148468889294
1610458182686525700,-7.51808138218224,-6.14364713216722,-1.3800133653216062
1610458182696539400,-7.504881708869338,-6.14131547434926,-1.4599272983834146
1610458182706553300,-7.4881082687228915,-6.1440475296616555,-1.532745135704428
1610458182716567600,-7.465476165676116,-6.1584180003196,-1.5845907660149037
1610458182726580500,-7.433233353719115,-6.1899354206115005,-1.6131125116221605
1610458182736594400,-7.388810859146714,-6.240614637491107,-1.6219081047572195
1610458182746608400,-7.332218618831038,-6.308287659269571,-1.616930170214176
1610458182756622600,-7.273641926699876,-6.386840971502662,-1.572506944989413
1610458182766636500,-7.228301148238778,-6.46660892022252,-1.4508689626589417
1610458182776650500,-7.177499181762338,-6.552852202436328,-1.3092049681268632
1610458182786664400,-7.107176522257924,-6.6504439771384,-1.1958311754684894
1610458182796677600,-7.016006889557838,-6.759018333625793,-1.1232538689050824
1610458182806691300,-6.907118060293794,-6.876792480134964,-1.0825140083681792
1610458182816705500,-6.78567545440495,-6.999937213766574,-1.061073380128294
1610458182826719500,-6.6569806854307645,-7.125284425878524,-1.0417905144441872
1610458182836733700,-6.522050236937403,-7.252554130485653,-1.0167117488976567
1610458182846747400,-6.375266853564978,-7.385899940136075,-0.9873349208310246
1610458182856761300,-6.207870890274643,-7.5296473168134685,-0.9680572427786887
