time,yaw,qx,qz,roll,qw,qy,pitch
1610458182596400400,1.9937366291746184,-0.24477888424328997,-0.7736504236596722,-0.15720288118099002,-0.531746756001687,-0.2424740053977273,0.6886572126440937
1610458182606414600,1.9959820224645226,-0.24456203004926358,-0.7744421304315796,-0.15892739373309506,-0.5312371023340471,-0.24127977708441148,0.6861398185740883
1610458182616428500,1.9979966668367186,-0.24422722231153798,-0.7752238635504287,-0.1603075971040227,-0.5307750793275381,-0.2401223963169684,0.6835593263117825
1610458182626442500,2.0003976652811186,-0.24397641101815395,-0.7760308089693998,-0.16174865855573248,-0.5301421070317934,-0.23916742214926423,0.681407601667732
1610458182636456400,2.0038064328869267,-0.24368966129477518,-0.7770251953292354,-0.16301238322653067,-0.5290575386239986,-0.23863206608271936,0.6798777490352788
1610458182646469600,2.0091568825830635,-0.24309352211575413,-0.7785090944021682,-0.16373518465805614,-0.5271193405204732,-0.2386928140562262,0.6788875792972603
1610458182656483300,2.016993139725963,-0.24244183576278344,-0.7805269114379265,-0.16479878515709828,-0.5242225030816641,-0.23914502256390066,0.6783448755079795
1610458182666497500,2.0273021016959865,-0.24224715574897526,-0.7829267548339429,-0.167660298890226,-0.5205538814004727,-0.2395111274637333,0.6780104155274705
1610458182676511500,2.0399147648808533,-0.24278266283201136,-0.7856020640115682,-0.17313648575764196,-0.5162865827824071,-0.23944506976964056,0.6775780568636584
1610458182686525700,2.053564699380409,-0.24432854522811034,-0.7881778476006975,-0.1815383364019737,-0.5119485058212697,-0.23872174993205586,0.6770258870512702
1610458182696539400,2.066422408857632,-0.24690794518939924,-0.7902061847507499,-0.19213079690490145,-0.5081503712326606,-0.23747421599171284,0.6767209090635995
1610458182706553300,2.0777381259873784,-0.2495118152818487,-0.791799947678581,-0.20190161919753166,-0.504817000683834,-0.23655144841727124,0.6770782386253134
1610458182716567600,2.0882833811292874,-0.25155470975621613,-0.793229848020082,-0.20915174871526826,-0.5014176157651066,-0.23682665948998918,0.6789598295406843
1610458182726580500,2.0991470825195258,-0.25297535129553206,-0.7946714828113145,-0.21369997213267408,-0.4974803706927927,-0.23877615087244725,0.6830964732601755
1610458182736594400,2.1110110874627246,-0.25393977456024835,-0.7961687607472642,-0.21608162459041072,-0.49278780309147996,-0.24246666198420996,0.6897775604189209
1610458182746608400,2.1238846521146257,-0.2546610235319385,-0.7976531291072031,-0.21705005825266455,-0.48743061776638064,-0.24760583728009714,0.6987567529602894
1610458182756622600,2.13600310548991,-0.2536951148853513,-0.7992825804644745,-0.2129156971928667,-0.4816636656455992,-0.25453144325495103,0.7092654434501902
1610458182766636500,2.145099530938666,-0.24882138870703632,-0.8014305703377373,-0.19808835344674905,-0.47565729384425803,-0.2637178870706219,0.7200344484103179
1610458182776650500,2.1523617393785197,-0.24319060793158007,-0.8032458159180622,-0.18042055539528498,-0.4698369902236348,-0.2736927228973057,0.7317933972466448
1610458182786664400,2.1594035671248992,-0.23946702442870377,-0.8041577930848373,-0.16669547773798798,-0.4644301093282989,-0.2833555595473064,0.7452513529087241
1610458182796677600,2.1679675707407595,-0.2381421423295725,-0.8043605782427542,-0.1587515417584813,-0.4590432709512809,-0.29252610639699766,0.7604230593722892
1610458182806691300,2.179615857639193,-0.23846253202347964,-0.8043613129114537,-0.1554598170104901,-0.4529546961494906,-0.30161334215347607,0.7771320359910708
1610458182816705500,2.1955933493027846,-0.2393986261248131,-0.8046853523598736,-0.15511350029741988,-0.4454825568408842,-0.3109905831016329,0.7949019777654556
1610458182826719500,2.2167440449834346,-0.239666862644205,-0.8058270747743602,-0.15523682554771515,-0.43595234854413806,-0.321167012023156,0.81332654592888
1610458182836733700,2.2429585361392554,-0.23871756459442217,-0.8078214717242252,-0.1546437018017835,-0.4242127500515085,-0.33238817573270907,0.8324085181962353
1610458182846747400,2.273381637603396,-0.2368476578539721,-0.8102166058417848,-0.15364893516795256,-0.4106058423843786,-0.34475358218778934,0.8528407502818998
1610458182856761300,2.3074103346179218,-0.23518113772069604,-0.8123349279768516,-0.1546944105769156,-0.3957590990401819,-0.3580174625587545,0.8754163733050407
1610458182866775600,2.3448172973541275,-0.2348424909279914,-0.8136414617395913,-0.16065543985497452,-0.38033800576994253,-0.3717250736512887,0.9003443489496885
1610458182876788700,2.3863455165521787,-0.23635147462736253,-0.8139976717374515,-0.173637236367422,-0.3645936806404432,-0.38550898812077455,0.9272141317960311
1610458182886802400,2.4326358198382985,-0.23952299919798842,-0.813422637774658,-0.19402836770391274,-0.3485501422445831,-0.3993560345248762,0.9556032405328977
1610458182896816400,2.4851456039278075,-0.24410020907650412,-0.8119528339574826,-0.22242907729863137,-0.33195999832121215,-0.41346140409226495,0.9853858082579284
1610458182906830600,2.5461240896871753,-0.2490885617129859,-0.8098341519041071,-0.25818846558139913,-0.3140345722611,-0.42837587920598025,1.0165012308052377
1610458182916844500,2.6182203228761214,-0.2532841426891807,-0.8074380458685381,-0.300708166114513,-0.2938642940782614,-0.44444879058259723,1.0483319733677268
1610458182926858500,2.702865359040873,-0.2569673948013836,-0.8045569946751056,-0.3525853727791743,-0.2717607456847468,-0.4613045132877225,1.0800022074942366
1610458182936872400,2.801318453614312,-0.26081459762888615,-0.8011148227020053,-0.4173795959919267,-0.24835262000926744,-0.4780291267369224,1.1094644427513132
1610458182946885600,2.9136032824881584,-0.2648497019976549,-0.7974888627288262,-0.4957749440004397,-0.22392743637916987,-0.4936827873444686,1.1338007465288178
1610458182956899300,3.034736431093062,-0.26926196142248743,-0.7936461884954581,-0.5847683829529007,-0.19960758709091275,-0.5077209966403388,1.1515478612009724
1610458182966913500,-3.125955779978735,-0.27409099613564897,-0.789182830205721,-0.6788390748871242,-0.17681302228953782,-0.5203861005720278,1.1637274793825958
1610458182976927500,-3.0056204857641826,-0.2786899468752436,-0.784131333484491,-0.7732740399404651,-0.15556811755156438,-0.5322298129239766,1.1716335125789312
1610458182986941700,-2.8868388447019666,-0.28267574902251164,-0.7787466900363028,-0.8666407369579071,-0.13498021530079843,-0.5435332367713832,1.1754433669865259
1610458182996955400,-2.769306043577781,-0.286188127215622,-0.7732655920367845,-0.9582912822586234,-0.1142776375524499,-0.5541637327692872,1.174355850688826
1610458183006969300,-2.655354203094199,-0.2887601551640654,-0.7681501658901837,-1.0439634057267868,-0.09263610603189915,-0.5638984719506626,1.1676128950223077
1610458183016982500,-2.5484121379600135,-0.29046380046859177,-0.7634259184636035,-1.1205418354661858,-0.07022083996326323,-0.5726086671534676,1.1557107647235578
1610458183026996700,-2.452050210512291,-0.2919986748063893,-0.7589609504876446,-1.1867753467295108,-0.0479254568674518,-0.5800157277659751,1.1394577355377273
1610458183037010400,-2.3689929955397253,-0.29443984767898546,-0.7547095355340424,-1.242841266891426,-0.026650029776441653,-0.5856691747592695,1.1191135620471873
1610458183047024400,-2.30051519112533,-0.2984666767333416,-0.7505468518149573,-1.2898918234548113,-0.007407294206928913,-0.5895271062619718,1.0959370879480381
1610458183057038600,-2.244402768925841,-0.30352232845745947,-0.746303345122425,-1.3297421973951908,0.00941504446764093,-0.5922980592135072,1.072405059211055
1610458183067052500,-2.1974140020556816,-0.30787951483302967,-0.742235529434828,-1.3619627110579802,0.024464922877115686,-0.5947253119867095,1.0507336124320927
1610458183077066500,-2.156955249763471,-0.3106806429311315,-0.7385461415976692,-1.3869552406628436,0.038314424991145,-0.597125657246198,1.0317577750938853
1610458183087080400,-2.120839059366629,-0.31270373152384184,-0.7349457595905106,-1.408090234396351,0.050971532594206885,-0.5995606553264198,1.0148684681818854
1610458183097093600,-2.0876380358619913,-0.31462052867094276,-0.7312111153567867,-1.4276614334584667,0.06256121317951033,-0.6020219163753415,0.999210492645431
1610458183107107300,-2.056993618988416,-0.31644507663341953,-0.7274197791974203,-1.445716861710833,0.07331806001298168,-0.6044397591119942,0.9844368148236503
1610458183117121500,-2.0290461748534545,-0.3177173793571101,-0.7238927774239697,-1.4607352687066895,0.08370778438183052,-0.6066530301508992,0.9704015769576603
1610458183127135500,-2.0040429641661524,-0.31814694579129954,-0.7208468771458941,-1.4718948838262846,0.09381048581047932,-0.608573633953899,0.9573793607066804
1610458183137149700,-1.9818409120400302,-0.3180695025585732,-0.7181410348022086,-1.4805585345380825,0.10313650955118792,-0.6103017504781808,0.94578467955661
1610458183147163400,-1.9618606992683987,-0.3178886387788518,-0.715524574695661,-1.4886048458735026,0.11121760346927287,-0.6120474809114854,0.9359458845980031
1610458183157177300,-1.9435894050167746,-0.31791062056853214,-0.712803805594479,-1.4974882786769255,0.11773491481923373,-0.6139886268587484,0.9280430908934808
1610458183167190500,-1.926609264035502,-0.31806484709262195,-0.7099737390468369,-1.5074100598557651,0.12276712241152543,-0.6161982466225783,0.9221020642857343
1610458183177204700,-1.9097449154869797,-0.31825681034803904,-0.7068684372986722,-1.5192438449508876,0.12642098764613685,-0.6189244497742041,0.9182292819956596
1610458183187218400,-1.8924052162588183,-0.31875962417805204,-0.7033152542242191,-1.5338820672503366,0.12878871814558257,-0.6222164732059177,0.915920211093881
1610458183197232400,-1.8763218154510743,-0.319186013881612,-0.6998826147834882,-1.548542243035466,0.13018941991177693,-0.6255680163280175,0.9149614420361628
1610458183207246600,-1.8709191209025147,-0.3183333973847056,-0.6991373266295015,-1.5510464516480957,0.13125417031619518,-0.6266124952007471,0.9150797211123894
1610458183217260500,-1.8764886412606057,-0.31575105198597087,-0.7013701480448259,-1.539678866960951,0.1324817040210242,-0.6251637866864652,0.9161773271333946
1610458183227274500,-1.8856414149741187,-0.3126528846282365,-0.7044623986804971,-1.524578871038378,0.13326668127385408,-0.6230738500891466,0.9182360944104733
1610458183237288400,-1.892203362716768,-0.3104554268554874,-0.7065021622036509,-1.5152779461947343,0.13279572992526187,-0.6219625724412137,0.9212883938338599
1610458183247301600,-1.8966399775375329,-0.30941420836369854,-0.7074675167490617,-1.5122755778616246,0.13067221856535335,-0.621833869180785,0.9256151729027364
1610458183257315300,-1.8997405773608373,-0.3086369685000266,-0.7079536285426613,-1.5119908185155728,0.12786681538356556,-0.622250013335068,0.9308360119712673
1610458183267329500,-1.9019459092777649,-0.30729168278940544,-0.7084691440163083,-1.5111555492810103,0.12544468456304284,-0.6228217735761273,0.9363564137469113
1610458183277343500,-1.902648709862708,-0.30498279833299247,-0.7091012044248567,-1.5088511733282872,0.12404120293207302,-0.62351804318925,0.941792375828912
1610458183287357700,-1.9012567380598426,-0.3017700008083434,-0.7097512664023049,-1.5053453102106695,0.1239523437757511,-0.6243587600079398,0.946660844682285
1610458183297371400,-1.8982300795481706,-0.2982323651385997,-0.7102721177805319,-1.501761248952772,0.12470874688887186,-0.6253148561183173,0.9508386465394643
1610458183307385300,-1.8948569825676913,-0.2949107888087004,-0.7106593682557036,-1.4987571586423447,0.12554406754265113,-0.6262822316146015,0.9546267137320833
1610458183317398500,-1.8919997582356243,-0.2915772360587274,-0.7110951564430207,-1.4957191693402032,0.12603999727772017,-0.627248206965844,0.9589092873497311
1610458183327412500,-1.890110178362886,-0.2881951181280633,-0.7116343478790874,-1.4925880578147392,0.1258836062647991,-0.6282304005215515,0.9641815137597494
1610458183337426400,-1.8888286662790559,-0.2846989151549122,-0.7122355696798005,-1.4894569469673418,0.1251900283663715,-0.6292810105496802,0.970396354490635
1610458183347440400,-1.8881124582708793,-0.2808422647630104,-0.7129967564059106,-1.4855387855219282,0.12427377635979402,-0.6303327851740009,0.9774026798959308
1610458183357454600,-1.8876850433338161,-0.2762405868682173,-0.7140251915908858,-1.479814559885368,0.12362885800275786,-0.6313280809614334,0.9849884256765095
1610458183367468500,-1.886986290570752,-0.2711362153580742,-0.7152008156561102,-1.4725674306596,0.12371207926216957,-0.6321931141134535,0.9921512491970923
1610458183377482500,-1.8860431248640053,-0.26680763917635214,-0.7162155364179291,-1.465657491783677,0.12457330640962437,-0.6327167486287336,0.997004822498126
1610458183387495400,-1.8850517812316743,-0.26283988218536286,-0.7171274646343025,-1.4591761291435166,0.12556286099876776,-0.6331487072445839,1.001148188958656
1610458183397509600,-1.8866321155286156,-0.2594910179113611,-0.7181372812741663,-1.453274510248893,0.12502660396294563,-0.6334916018835897,1.0065302217702565
1610458183407523300,-1.8907729958102695,-0.2566778442697817,-0.719279100098876,-1.4475986232008669,0.12312600690665268,-0.633714395316788,1.0130075385508375
1610458183417537500,-1.89708363570737,-0.25490395353373857,-0.7204120957773403,-1.4427624926011928,0.12023414772620075,-0.6336988289192758,1.0193206633021934
1610458183427551500,-1.9042355243276068,-0.25388976756760706,-0.7214366434488563,-1.4388508580184796,0.11691444411163411,-0.6335615701342728,1.0251312292465118
1610458183437565400,-1.910139680447725,-0.2527919012851369,-0.7223857429804719,-1.4345823287554427,0.11462294148771757,-0.6333377485394587,1.0295686017116337
1610458183447579400,-1.9160568838770986,-0.25175860590838706,-0.7234929839204101,-1.4287245773628259,0.11350243674800227,-0.6326869274067299,1.0320229274316757
1610458183457593300,-1.9225935486811594,-0.2499802246065865,-0.7250116589610499,-1.419716814010278,0.11336558794584986,-0.6316773359787858,1.0338380221623218
1610458183467603200,-1.9295871401802467,-0.24688472705047826,-0.7269957680676771,-1.4070644635863383,0.11406893302193133,-0.6304866500126849,1.0360511054694568
1610458183477617200,-1.9373427925062432,-0.24326045519649908,-0.7292512289294069,-1.3923360440193004,0.11513954811818167,-0.6290945088633739,1.0382521033727892
1610458183487631400,-1.9460559577252907,-0.23997511198064153,-0.7315701128309335,-1.3772941155764817,0.11612523978263853,-0.6274807305915668,1.039908615416455
1610458183497645000,-1.9544565549705146,-0.2372917886014744,-0.7336413776347043,-1.363973935777692,0.1167629148295417,-0.6259627799951323,1.0412783136742154
1610458183507659300,-1.9614066708213411,-0.23476676653793696,-0.7353793679227343,-1.352572523834131,0.11723840569115136,-0.6247854539437174,1.0428854365647948
1610458183517673200,-1.9662027559298858,-0.2320317933440538,-0.7367485367471479,-1.3430263161721463,0.11769974328363364,-0.624107146360273,1.0451501498232367
1610458183527687400,-1.9686929514589373,-0.22937258710434172,-0.7376748445611726,-1.3359484505279717,0.1181231866041143,-0.6239158214094588,1.047758158508362
1610458183537700000,-1.9701889370484502,-0.22707996894042812,-0.738335827445873,-1.3305879548908364,0.11842622463482988,-0.623915230194996,1.050221645481128
1610458183547714300,-1.9725749387430114,-0.22521925458504619,-0.7390009565898858,-1.3255846977180228,0.11831440990377787,-0.6238234369190593,1.0526098723473996
1610458183557728300,-1.9770556646315656,-0.22369509587693626,-0.7398463060443777,-1.3199488627637688,0.11753999077513522,-0.6235160751571308,1.0552548345457002
1610458183567742500,-1.9832355696686403,-0.22221336541277312,-0.7409099652021041,-1.3131106150688763,0.11646895728622894,-0.6229837696465804,1.058024162251975
1610458183577756200,-1.9896853302375852,-0.2206794923157934,-0.7420422968711624,-1.305705763485161,0.11555144168914971,-0.6223517421878086,1.0605474108170645
1610458183587770000,-1.9949672968511527,-0.21894162557771862,-0.743084743745107,-1.2984560324895622,0.11512664844384736,-0.6218002684532227,1.0627335036678798
1610458183597784300,-1.9993324088118174,-0.21699887235995236,-0.7440688736499265,-1.2912126555769223,0.11512229360231124,-0.6213048745570517,1.0646605661335626
1610458183607797200,-2.0033619121980135,-0.2150277322070211,-0.7450531571067187,-1.2838154181276025,0.11543108283614575,-0.6207530617371976,1.0661515708669866
