time,z,y,x
1610478706969361400,-35.21999740600586,-40.439998626708984,-4.920000076293945
1610478706979361300,-34.68000030517578,-40.37999725341797,-5.039999961853027
1610478706989360400,-34.91999816894531,-40.55999755859375,-5.21999979019165
1610478706999359700,-34.439998626708984,-40.55999755859375,-4.739999771118164
1610478707009358600,-34.68000030517578,-41.39999771118164,-4.559999942779541
1610478707019357400,-34.91999816894531,-41.939998626708984,-4.139999866485596
1610478707029356500,-34.20000076293945,-42.41999816894531,-3.7799999713897705
1610478707039355400,-34.02000045776367,-43.02000045776367,-4.199999809265137
1610478707049354000,-33.599998474121094,-43.73999786376953,-4.139999866485596
1610478707059352800,-32.57999801635742,-44.279998779296875,-3.7799999713897705
1610478707069351700,-32.34000015258789,-44.939998626708984,-3.5999999046325684
1610478707079350500,-31.85999870300293,-45.47999954223633,-3.419999837875366
1610478707089349400,-31.619998931884766,-45.05999755859375,-3.4800000190734863
1610478707099348200,-31.920000076293945,-45.18000030517578,-3.8999998569488525
1610478707109347000,-31.85999870300293,-45.47999954223633,-4.380000114440918
1610478707119346000,-31.799999237060547,-46.13999938964844,-4.5
1610478707129344800,-31.67999839782715,-46.68000030517578,-4.619999885559082
1610478707139343400,-31.31999969482422,-46.55999755859375,-4.739999771118164
1610478707149342200,-30.779998779296875,-46.439998626708984,-4.980000019073486
1610478707159341000,-30.959999084472656,-46.07999801635742,-4.920000076293945
1610478707169340000,-31.079999923706055,-45.84000015258789,-5.400000095367432
1610478707179338500,-30.899999618530273,-45.84000015258789,-5.21999979019165
1610478707189337300,-31.31999969482422,-45.53999710083008,-5.099999904632568
1610478707199336000,-31.079999923706055,-45.23999786376953,-5.339999675750732
1610478707209334800,-31.139999389648438,-45.36000061035156,-4.799999713897705
1610478707219333600,-31.559999465942383,-45.53999710083008,-4.920000076293945
1610478707229332200,-31.079999923706055,-45.959999084472656,-5.039999961853027
1610478707239331000,-30.959999084472656,-46.20000076293945,-4.799999713897705
1610478707249330000,-30.65999984741211,-46.02000045776367,-5.460000038146973
1610478707259328500,-30.299999237060547,-45.959999084472656,-5.699999809265137
1610478707269327400,-30.779998779296875,-45.779998779296875,-6.119999885559082
1610478707279326200,-30.599998474121094,-45.599998474121094,-6.299999713897705
1610478707289324800,-30.17999839782715,-45.71999740600586,-6.119999885559082
1610478707299323400,-30.35999870300293,-45.41999816894531,-6.359999656677246
1610478707309322200,-30.17999839782715,-45.47999954223633,-6.059999942779541
1610478707319320800,-30.059999465942383,-45.599998474121094,-6.299999713897705
1610478707329319700,-30.35999870300293,-45.959999084472656,-6.119999885559082
1610478707339318500,-30.299999237060547,-46.2599983215332,-6.119999885559082
1610478707349317000,-30.119998931884766,-46.55999755859375,-6.239999771118164
1610478707359316000,-29.939998626708984,-46.02000045776367,-6.71999979019165
1610478707369314600,-30.059999465942383,-45.71999740600586,-6.839999675750732
1610478707379313200,-30.059999465942383,-45.84000015258789,-7.319999694824219
1610478707389312000,-30.17999839782715,-45.599998474121094,-7.37999963760376
1610478707399310800,-30.599998474121094,-46.37999725341797,-7.139999866485596
1610478707409309400,-31.139999389648438,-46.439998626708984,-6.779999732971191
1610478707419308300,-31.5,-46.68000030517578,-6.059999942779541
1610478707429307100,-31.439998626708984,-46.439998626708984,-6
1610478707439305700,-31.5,-46.07999801635742,-5.759999752044678
1610478707449304600,-30.779998779296875,-46.07999801635742,-6.059999942779541
1610478707459303200,-30.420000076293945,-46.07999801635742,-6.539999961853027
1610478707469302000,-30.35999870300293,-46.73999786376953,-6.179999828338623
1610478707479300900,-30.35999870300293,-46.68000030517578,-6
1610478707489299500,-29.939998626708984,-46.97999954223633,-5.87999963760376
1610478707499298300,-30.059999465942383,-46.91999816894531,-5.460000038146973
1610478707509297000,-30.059999465942383,-46.55999755859375,-5.460000038146973
