time,z,y,x
1610478799292699000,-34.86000061035156,-41.39999771118164,-5.21999979019165
1610478799302698000,-34.73999786376953,-41.15999984741211,-4.619999885559082
1610478799312697300,-35.040000915527344,-41.279998779296875,-5.159999847412109
1610478799322697200,-35.21999740600586,-41.15999984741211,-5.400000095367432
1610478799332696300,-34.13999938964844,-41.21999740600586,-5.699999809265137
1610478799342695700,-34.13999938964844,-41.939998626708984,-6.059999942779541
1610478799352694800,-33.65999984741211,-42,-5.639999866485596
1610478799362694000,-33.18000030517578,-42.119998931884766,-4.739999771118164
1610478799372693000,-32.70000076293945,-42.41999816894531,-4.199999809265137
1610478799382691800,-32.39999771118164,-42.89999771118164,-3.8999998569488525
1610478799392690700,-32.040000915527344,-43.31999969482422,-3.7799999713897705
1610478799402689800,-32.34000015258789,-43.79999923706055,-3.9599997997283936
1610478799412688600,-32.7599983215332,-44.099998474121094,-4.019999980926514
1610478799422687500,-32.52000045776367,-43.91999816894531,-3.7200000286102295
1610478799432686600,-32.939998626708984,-44.21999740600586,-3.7200000286102295
1610478799442685400,-32.7599983215332,-44.21999740600586,-3.9599997997283936
1610478799452684300,-32.880001068115234,-43.91999816894531,-4.079999923706055
1610478799462683100,-32.57999801635742,-44.099998474121094,-4.559999942779541
1610478799472682000,-32.099998474121094,-44.21999740600586,-4.5
1610478799482680800,-31.85999870300293,-44.34000015258789,-4.739999771118164
1610478799492679700,-31.559999465942383,-44.57999801635742,-5.099999904632568
1610478799502678500,-31.3799991607666,-44.87999725341797,-4.920000076293945
1610478799512677400,-31.619998931884766,-44.34000015258789,-5.159999847412109
1610478799522676200,-31.920000076293945,-44.52000045776367,-4.799999713897705
1610478799532675000,-31.799999237060547,-44.21999740600586,-4.380000114440918
1610478799542674000,-31.979999542236328,-44.040000915527344,-4.619999885559082
1610478799552672800,-31.619998931884766,-44.040000915527344,-4.380000114440918
1610478799562671400,-31.619998931884766,-44.21999740600586,-4.5
1610478799572670200,-31.619998931884766,-44.279998779296875,-4.799999713897705
1610478799582669000,-31.5,-44.34000015258789,-5.039999961853027
1610478799592668000,-31.31999969482422,-44.459999084472656,-4.920000076293945
1610478799602666800,-31.079999923706055,-44.040000915527344,-4.859999656677246
1610478799612665300,-31.01999855041504,-44.15999984741211,-4.980000019073486
1610478799622664200,-31.079999923706055,-44.099998474121094,-4.5
1610478799632662800,-31.619998931884766,-43.55999755859375,-4.619999885559082
1610478799642661600,-31.139999389648438,-44.040000915527344,-4.679999828338623
1610478799652660200,-31.139999389648438,-43.91999816894531,-4.859999656677246
1610478799662659000,-31.3799991607666,-43.91999816894531,-5.099999904632568
1610478799672657700,-31.139999389648438,-44.15999984741211,-5.400000095367432
1610478799682656500,-31.439998626708984,-43.439998626708984,-5.639999866485596
1610478799692655000,-31.3799991607666,-43.55999755859375,-5.400000095367432
1610478799702654000,-31.31999969482422,-43.5,-5.21999979019165
1610478799712652500,-31.799999237060547,-43.55999755859375,-5.039999961853027
1610478799722651400,-32.040000915527344,-44.15999984741211,-4.980000019073486
1610478799732650200,-32.15999984741211,-44.21999740600586,-4.739999771118164
1610478799742649000,-32.459999084472656,-44.15999984741211,-4.739999771118164
1610478799752647700,-32.459999084472656,-44.21999740600586,-4.739999771118164
1610478799762646500,-32.34000015258789,-43.73999786376953,-4.799999713897705
1610478799772645000,-32.7599983215332,-43.86000061035156,-4.799999713897705
1610478799782644000,-32.880001068115234,-43.619998931884766,-5.21999979019165
1610478799792642600,-32.81999969482422,-43.31999969482422,-5.099999904632568
1610478799802641400,-33,-43.55999755859375,-4.799999713897705
1610478799812640000,-33.05999755859375,-43.73999786376953,-5.159999847412109
1610478799822638800,-33.119998931884766,-43.79999923706055,-4.739999771118164
1610478799832637700,-33.18000030517578,-44.15999984741211,-4.739999771118164
1610478799842636500,-33.29999923706055,-44.39999771118164,-4.799999713897705
1610478799852635100,-32.939998626708984,-44.34000015258789,-4.380000114440918
1610478799862634000,-32.52000045776367,-44.57999801635742,-4.259999752044678
1610478799872632800,-32.57999801635742,-44.63999938964844,-4.380000114440918
1610478799882631400,-32.34000015258789,-43.91999816894531,-4.319999694824219
1610478799892630300,-32.279998779296875,-43.55999755859375,-5.039999961853027
1610478799902628900,-32.279998779296875,-43.5,-5.279999732971191
1610478799912627700,-32.099998474121094,-43.37999725341797,-5.21999979019165
1610478799922626300,-32.040000915527344,-43.86000061035156,-5.579999923706055
1610478799932625200,-32.279998779296875,-43.73999786376953,-5.579999923706055
1610478799942624000,-32.63999938964844,-43.79999923706055,-5.21999979019165
1610478799952622600,-32.459999084472656,-43.619998931884766,-5.460000038146973
1610478799962621400,-32.70000076293945,-43.73999786376953,-5.279999732971191
1610478799972620300,-32.459999084472656,-43.73999786376953,-4.980000019073486
1610478799982619100,-31.979999542236328,-43.73999786376953,-5.460000038146973
1610478799992617700,-32.099998474121094,-43.31999969482422,-5.579999923706055
1610478800002616600,-31.799999237060547,-42.779998779296875,-5.639999866485596
1610478800012615200,-31.799999237060547,-42.599998474121094,-5.87999963760376
1610478800022613800,-32.15999984741211,-42.540000915527344,-5.940000057220459
1610478800032612600,-32.279998779296875,-42.71999740600586,-5.759999752044678
1610478800042611200,-32.39999771118164,-42.540000915527344,-5.759999752044678
1610478800052609800,-32.880001068115234,-42.599998474121094,-6.059999942779541
1610478800062608600,-31.979999542236328,-42.65999984741211,-6.239999771118164
1610478800072607500,-31.920000076293945,-43.20000076293945,-6.299999713897705
1610478800082606000,-32.040000915527344,-43.37999725341797,-6.179999828338623
1610478800092605000,-32.040000915527344,-43.79999923706055,-5.639999866485596
1610478800102603800,-32.34000015258789,-43.68000030517578,-5.579999923706055
1610478800112602400,-31.739999771118164,-42.959999084472656,-5.519999980926514
1610478800122601200,-32.15999984741211,-43.2599983215332,-5.519999980926514
1610478800132599800,-31.979999542236328,-43.07999801635742,-5.21999979019165
1610478800142598700,-32.39999771118164,-42.89999771118164,-4.799999713897705
1610478800152597200,-33.18000030517578,-43.619998931884766,-5.039999961853027
1610478800162596000,-32.81999969482422,-43.02000045776367,-5.21999979019165
1610478800172594700,-33.05999755859375,-42.47999954223633,-5.519999980926514
1610478800182593500,-32.7599983215332,-42.23999786376953,-6
1610478800192592400,-32.459999084472656,-41.63999938964844,-6.059999942779541
1610478800202591200,-32.57999801635742,-41.39999771118164,-5.940000057220459
1610478800212589800,-32.57999801635742,-41.21999740600586,-5.87999963760376
1610478800222550500,-32.81999969482422,-41.21999740600586,-5.579999923706055
1610478800232549400,-33.540000915527344,-41.099998474121094,-5.099999904632568
1610478800242548000,-33.84000015258789,-41.63999938964844,-4.799999713897705
1610478800252546600,-33.36000061035156,-41.63999938964844,-4.799999713897705
1610478800262545400,-33.36000061035156,-41.81999969482422,-4.440000057220459
1610478800272544300,-32.70000076293945,-42.119998931884766,-4.559999942779541
1610478800282542800,-32.39999771118164,-42.29999923706055,-4.980000019073486
1610478800292541700,-32.52000045776367,-42.84000015258789,-5.21999979019165
1610478800302540300,-32.880001068115234,-42.84000015258789,-5.699999809265137
1610478800312539100,-32.880001068115234,-42.959999084472656,-5.759999752044678
1610478800322538000,-32.70000076293945,-42.779998779296875,-5.279999732971191
1610478800332536600,-32.880001068115234,-42.23999786376953,-5.099999904632568
1610478800342535400,-32.63999938964844,-42.41999816894531,-4.559999942779541
1610478800352534300,-32.81999969482422,-42.05999755859375,-4.859999656677246
1610478800362533000,-32.81999969482422,-42.23999786376953,-5.579999923706055
1610478800372532000,-32.81999969482422,-42.47999954223633,-5.639999866485596
1610478800382530800,-32.39999771118164,-42.29999923706055,-5.87999963760376
1610478800392529400,-32.040000915527344,-42.41999816894531,-5.759999752044678
1610478800402528300,-31.920000076293945,-42.41999816894531,-5.519999980926514
1610478800412527000,-31.67999839782715,-42.779998779296875,-5.87999963760376
1610478800422526000,-31.799999237060547,-42.959999084472656,-6.059999942779541
1610478800432524800,-31.920000076293945,-43.2599983215332,-5.940000057220459
1610478800442523600,-31.85999870300293,-43.5,-5.339999675750732
1610478800452522500,-31.439998626708984,-43.55999755859375,-5.21999979019165
1610478800462521300,-31.079999923706055,-43.68000030517578,-5.579999923706055
1610478800472520200,-30.779998779296875,-43.55999755859375,-5.699999809265137
1610478800482519000,-31.5,-43.31999969482422,-6.359999656677246
1610478800492518000,-32.21999740600586,-42.779998779296875,-6.179999828338623
