time,z,y,x
1610458300676657700,-8.633004864311218,-4.598747886680067,0.7022337115492672
1610458300686670600,-8.598031166085601,-4.653459427815675,0.7678270775094628
1610458300696684500,-8.568163851088284,-4.697817624980211,0.8291301258645951
1610458300706697700,-8.542872757965325,-4.735830252510309,0.8727080593716353
1610458300716711400,-8.515946757116913,-4.77572942443937,0.9173015265967697
1610458300726724600,-8.482255499917269,-4.812684651871026,1.029461559551209
1610458300736738600,-8.437742988973856,-4.854122869935631,1.1884342701502144
1610458300746751500,-8.379587737125158,-4.9013864331528545,1.3889910370253025
1610458300756765700,-8.310393789389728,-4.945599961149692,1.6275065092861651
1610458300766778400,-8.234404774686693,-4.9794887867480515,1.8893524421215055
1610458300776791600,-8.15876588859558,-4.992880183240771,2.1624225104130805
1610458300786805500,-8.110660321596264,-4.974202955299615,2.3758953113541006
1610458300796818400,-8.113135187277198,-4.913709031370282,2.4905580478444693
1610458300806832600,-8.150110872974992,-4.79897732129693,2.5915029323667285
1610458300816845600,-8.202641270679235,-4.644015307644009,2.7055837773159146
1610458300826859500,-8.248639051744341,-4.474460705015063,2.8477251801013943
1610458300836872700,-8.276752801072597,-4.304058837907016,3.0233795609101652
1610458300846886700,-8.283159160983562,-4.136771303427219,3.2321488603353496
1610458300856899600,-8.272063766473531,-3.974792104488611,3.4560625374004244
1610458300866912500,-8.255502507773041,-3.81169939135015,3.6726027630880473
1610458300876926700,-8.256051958349346,-3.619607378220558,3.860884862540662
1610458300886939600,-8.293059792751073,-3.3620269938752054,4.011522875514626
1610458300896953600,-8.352249648344516,-3.02667100367099,4.153260665935278
1610458300906966800,-8.406716567069292,-2.6437679571330546,4.30209250627011
1610458300916980500,-8.436900108408928,-2.2778381110973656,4.449781021788716
1610458300926993700,-8.436190498834847,-1.9700630785189568,4.595641445097327
1610458300937007600,-8.414352176514267,-1.7364138971202074,4.727994444318115
1610458300947020500,-8.382073708721995,-1.5634487553954124,4.844259939830005
1610458300957034500,-8.350313711845875,-1.4344740004360674,4.938109897655249
1610458300967047700,-8.325994678625465,-1.3401516027934848,5.005216517722606
1610458300977060600,-8.305665007302165,-1.2789330178514122,5.054764100223779
1610458300987074600,-8.281530098477006,-1.238857904833555,5.104103008410334
1610458300997087500,-8.252720768100023,-1.2030174337107689,5.159043974387646
